Start,Finish,Distance (km),Steps (count)
02-May-2017 00:00,03-May-2017 00:00,2.90288000000478,5271.0
03-May-2017 00:00,04-May-2017 00:00,3.07256000000436,5316.0
04-May-2017 00:00,05-May-2017 00:00,2.86848000000324,5117.0
05-May-2017 00:00,06-May-2017 00:00,4.06209000000358,6480.0
06-May-2017 00:00,07-May-2017 00:00,4.47641000000189,7592.0
07-May-2017 00:00,08-May-2017 00:00,4.33733000000159,7714.0
08-May-2017 00:00,09-May-2017 00:00,3.39697000000207,5329.0
09-May-2017 00:00,10-May-2017 00:00,3.38013000000105,5552.0
10-May-2017 00:00,11-May-2017 00:00,3.45125000000233,5969.0
11-May-2017 00:00,12-May-2017 00:00,3.89315000000119,6355.0
12-May-2017 00:00,13-May-2017 00:00,3.35833000000042,5586.0
13-May-2017 00:00,14-May-2017 00:00,3.00874000000022,4854.0
14-May-2017 00:00,15-May-2017 00:00,5.1516099999951,7354.0
15-May-2017 00:00,16-May-2017 00:00,2.96573000000312,5008.0
16-May-2017 00:00,17-May-2017 00:00,3.32783000000089,5349.0
17-May-2017 00:00,18-May-2017 00:00,4.00821000000753,7174.0
18-May-2017 00:00,19-May-2017 00:00,4.35253999999934,6791.0
19-May-2017 00:00,20-May-2017 00:00,4.00442000000423,7241.0
20-May-2017 00:00,21-May-2017 00:00,7.1345600000039,11624.0
21-May-2017 00:00,22-May-2017 00:00,4.6388100000018,7970.0
22-May-2017 00:00,23-May-2017 00:00,2.92557000000041,4922.0
23-May-2017 00:00,24-May-2017 00:00,2.8325300000048,5276.0
24-May-2017 00:00,25-May-2017 00:00,4.15779000000004,6315.0
25-May-2017 00:00,26-May-2017 00:00,3.17392999999749,4450.0
26-May-2017 00:00,27-May-2017 00:00,4.04875999999826,6415.0
27-May-2017 00:00,28-May-2017 00:00,3.75085915705818,5922.0
28-May-2017 00:00,29-May-2017 00:00,4.65969000000099,7860.0
29-May-2017 00:00,30-May-2017 00:00,4.3646300000007,7268.0
30-May-2017 00:00,31-May-2017 00:00,4.509606994626,7310.0
31-May-2017 00:00,01-Jun-2017 00:00,3.29390000000643,6078.0
01-Jun-2017 00:00,02-Jun-2017 00:00,2.72487000000139,4848.0
02-Jun-2017 00:00,03-Jun-2017 00:00,2.89397000000975,5359.0
03-Jun-2017 00:00,04-Jun-2017 00:00,0.00576000000000931,8.0
04-Jun-2017 00:00,05-Jun-2017 00:00,4.53175000000338,7354.0
05-Jun-2017 00:00,06-Jun-2017 00:00,4.43610000000009,6815.0
06-Jun-2017 00:00,07-Jun-2017 00:00,2.69850000000605,4527.0
07-Jun-2017 00:00,08-Jun-2017 00:00,2.88553000000468,4994.0
08-Jun-2017 00:00,09-Jun-2017 00:00,4.84410227100959,7840.0
09-Jun-2017 00:00,10-Jun-2017 00:00,2.80246000000474,5026.0
10-Jun-2017 00:00,11-Jun-2017 00:00,0.766409999999567,1321.0
11-Jun-2017 00:00,12-Jun-2017 00:00,1.66572971247812,2631.0
12-Jun-2017 00:00,13-Jun-2017 00:00,6.03192735739541,9332.0
13-Jun-2017 00:00,14-Jun-2017 00:00,3.99750000000279,7191.0
14-Jun-2017 00:00,15-Jun-2017 00:00,3.82410000000242,6475.0
15-Jun-2017 00:00,16-Jun-2017 00:00,5.35108000001008,9563.0
16-Jun-2017 00:00,17-Jun-2017 00:00,9.15981922847894,17192.0
17-Jun-2017 00:00,18-Jun-2017 00:00,3.22016999999795,6276.0
18-Jun-2017 00:00,19-Jun-2017 00:00,2.22978000000294,4237.0
19-Jun-2017 00:00,20-Jun-2017 00:00,3.6771100000015,5970.0
20-Jun-2017 00:00,21-Jun-2017 00:00,3.29585000000871,6065.0
21-Jun-2017 00:00,22-Jun-2017 00:00,8.18087178309925,14183.0
22-Jun-2017 00:00,23-Jun-2017 00:00,0.647550000000745,1218.0
23-Jun-2017 00:00,24-Jun-2017 00:00,4.77010575399792,7461.0
24-Jun-2017 00:00,25-Jun-2017 00:00,1.67028000000492,3219.0
25-Jun-2017 00:00,26-Jun-2017 00:00,4.06295581664261,7323.0
26-Jun-2017 00:00,27-Jun-2017 00:00,10.9833804981932,17141.0
27-Jun-2017 00:00,28-Jun-2017 00:00,2.24603000000434,4091.0
28-Jun-2017 00:00,29-Jun-2017 00:00,7.06871734460467,11086.0
29-Jun-2017 00:00,30-Jun-2017 00:00,7.30126127429015,12362.0
30-Jun-2017 00:00,01-Jul-2017 00:00,4.4970850622633,8314.0
01-Jul-2017 00:00,02-Jul-2017 00:00,4.804770000007,8833.0
02-Jul-2017 00:00,03-Jul-2017 00:00,3.83120000000065,7485.0
03-Jul-2017 00:00,04-Jul-2017 00:00,4.45590070866118,7254.0
04-Jul-2017 00:00,05-Jul-2017 00:00,4.53701579330047,7815.0
05-Jul-2017 00:00,06-Jul-2017 00:00,5.77551376894268,9669.0
06-Jul-2017 00:00,07-Jul-2017 00:00,9.88468713697232,17248.0
07-Jul-2017 00:00,08-Jul-2017 00:00,1.93046999999788,3783.0
08-Jul-2017 00:00,09-Jul-2017 00:00,1.44737000000093,2782.0
09-Jul-2017 00:00,10-Jul-2017 00:00,2.42446000000148,4664.0
10-Jul-2017 00:00,11-Jul-2017 00:00,7.98928000000562,14374.0
11-Jul-2017 00:00,12-Jul-2017 00:00,6.91837999999407,11829.0
12-Jul-2017 00:00,13-Jul-2017 00:00,5.86402000001492,11178.0
13-Jul-2017 00:00,14-Jul-2017 00:00,5.89033000000287,8982.0
14-Jul-2017 00:00,15-Jul-2017 00:00,5.78349000000325,10276.0
15-Jul-2017 00:00,16-Jul-2017 00:00,1.76006999999308,3352.0
16-Jul-2017 00:00,17-Jul-2017 00:00,1.0528300000024,2000.0
17-Jul-2017 00:00,18-Jul-2017 00:00,6.28877000000747,10924.0
18-Jul-2017 00:00,19-Jul-2017 00:00,4.93094000000809,8755.0
19-Jul-2017 00:00,20-Jul-2017 00:00,4.76630000001192,8906.0
20-Jul-2017 00:00,21-Jul-2017 00:00,4.53689000000642,7790.0
21-Jul-2017 00:00,22-Jul-2017 00:00,4.99157791221747,8965.0
22-Jul-2017 00:00,23-Jul-2017 00:00,0.781459999999497,1417.0
23-Jul-2017 00:00,24-Jul-2017 00:00,4.31699625035329,7544.0
24-Jul-2017 00:00,25-Jul-2017 00:00,3.64468000000878,6387.0
25-Jul-2017 00:00,26-Jul-2017 00:00,3.60824000000488,6645.0
26-Jul-2017 00:00,27-Jul-2017 00:00,4.39471000000974,8013.0
27-Jul-2017 00:00,28-Jul-2017 00:00,4.16638000000478,7293.0
28-Jul-2017 00:00,29-Jul-2017 00:00,3.49148000000231,5998.0
29-Jul-2017 00:00,30-Jul-2017 00:00,1.10239000000525,2140.0
30-Jul-2017 00:00,31-Jul-2017 00:00,1.87653000000515,3610.0
31-Jul-2017 00:00,01-Aug-2017 00:00,3.41903000000375,5979.0
01-Aug-2017 00:00,02-Aug-2017 00:00,5.53385000000009,8417.0
02-Aug-2017 00:00,03-Aug-2017 00:00,5.42730506458506,10011.0
03-Aug-2017 00:00,04-Aug-2017 00:00,3.82288000000338,6712.0
04-Aug-2017 00:00,05-Aug-2017 00:00,5.22566999999946,8528.0
05-Aug-2017 00:00,06-Aug-2017 00:00,1.24447000000486,2385.0
06-Aug-2017 00:00,07-Aug-2017 00:00,0.696310000001919,1324.0
