In bed start,In bed Finish,Minutes in bed,Minutes asleep,Time to fall sleep,Number of sleep periods
16-Jun-2017 23:00,17-Jun-2017 05:34,394.666666666667,0.0,0.0,0
17-Jun-2017 05:41,17-Jun-2017 05:53,11.8666666666667,0.0,0.0,0
17-Jun-2017 05:58,17-Jun-2017 06:00,1.58223904967308,0.0,0.0,0
17-Jun-2017 23:00,18-Jun-2017 05:04,364.0,0.0,0.0,0
18-Jun-2017 05:04,18-Jun-2017 05:26,22.5333333333333,0.0,0.0,0
18-Jun-2017 05:55,18-Jun-2017 06:00,4.71036743323008,0.0,0.0,0
18-Jun-2017 23:00,19-Jun-2017 06:00,420.107014849782,0.0,0.0,0
19-Jun-2017 23:00,20-Jun-2017 00:41,101.8,0.0,0.0,0
20-Jun-2017 00:43,20-Jun-2017 00:48,5.13333333333333,0.0,0.0,0
20-Jun-2017 00:52,20-Jun-2017 06:00,307.80426518321,0.0,0.0,0
20-Jun-2017 23:00,21-Jun-2017 02:44,224.733333333333,0.0,0.0,0
21-Jun-2017 02:45,21-Jun-2017 06:00,194.649609033267,0.0,0.0,0
21-Jun-2017 23:26,22-Jun-2017 06:00,393.318677999576,0.0,0.0,0
22-Jun-2017 23:00,23-Jun-2017 06:00,420.091488683224,0.0,0.0,0
23-Jun-2017 23:55,24-Jun-2017 06:00,364.4,0.0,0.0,0
24-Jun-2017 06:00,24-Jun-2017 06:09,8.95164171655973,0.0,0.0,0
24-Jun-2017 23:00,25-Jun-2017 06:00,420.185492583116,0.0,0.0,0
25-Jun-2017 23:00,26-Jun-2017 06:00,420.113784183065,0.0,0.0,0
26-Jun-2017 23:00,27-Jun-2017 06:00,420.101665816704,0.0,0.0,0
27-Jun-2017 23:00,28-Jun-2017 06:00,420.103185816606,0.0,0.0,0
28-Jun-2017 23:00,29-Jun-2017 06:00,420.094953383009,0.0,0.0,0
29-Jun-2017 23:00,30-Jun-2017 06:00,420.333333333333,0.0,0.0,0
30-Jun-2017 06:00,30-Jun-2017 06:09,8.8172155837218,0.0,0.0,0
30-Jun-2017 23:00,01-Jul-2017 06:00,420.185382283727,0.0,0.0,0
01-Jul-2017 23:13,02-Jul-2017 06:00,406.566930866241,0.0,0.0,0
02-Jul-2017 23:08,03-Jul-2017 06:00,411.246318166455,0.0,0.0,0
03-Jul-2017 23:20,04-Jul-2017 06:00,400.188698416948,0.0,0.0,0
04-Jul-2017 23:20,05-Jul-2017 06:00,399.257852900028,0.0,0.0,0
05-Jul-2017 23:00,06-Jul-2017 06:00,420.199105783304,0.0,0.0,0
06-Jul-2017 23:00,07-Jul-2017 06:00,420.220053733389,0.0,0.0,0
07-Jul-2017 23:02,08-Jul-2017 06:00,417.789179516832,0.0,0.0,0
09-Jul-2017 23:01,10-Jul-2017 06:09,427.287306366364,0.0,0.0,0
10-Jul-2017 23:00,11-Jul-2017 06:00,420.14044508338,0.0,0.0,0
11-Jul-2017 23:45,12-Jul-2017 06:00,374.95752616624,0.0,0.0,0
12-Jul-2017 23:00,13-Jul-2017 06:18,438.521168283621,0.0,0.0,0
13-Jul-2017 23:00,14-Jul-2017 06:18,438.350055683653,0.0,0.0,0
15-Jul-2017 02:40,15-Jul-2017 06:00,199.629751132925,0.0,0.0,0
15-Jul-2017 23:00,16-Jul-2017 06:00,420.232938866814,0.0,0.0,0
17-Jul-2017 00:09,17-Jul-2017 04:51,282.2,0.0,0.0,0
17-Jul-2017 04:51,17-Jul-2017 06:00,68.4971312661966,0.0,0.0,0
18-Jul-2017 02:20,18-Jul-2017 06:00,220.015083032846,0.0,0.0,0
18-Jul-2017 23:00,19-Jul-2017 00:54,114.533333333333,0.0,0.0,0
